mode	error	time/s	<Ewe/V>	
3	0	1.485499962473114E+003	-2.0236359E+000
3	0	1.485999962460482E+003	-2.0148556E+000
3	0	1.486499962447851E+003	-2.0205603E+000
3	0	1.486999962435220E+003	-2.0230477E+000
3	0	1.487499962422589E+003	-2.0307391E+000
3	0	1.487999962409958E+003	-2.0269213E+000
3	0	1.488499962397327E+003	-2.0265346E+000
3	0	1.488999962384696E+003	-2.0353560E+000
3	0	1.489499962372065E+003	-2.0414517E+000
3	0	1.489999962359434E+003	-2.0276392E+000
3	0	1.490499962346803E+003	-2.0215683E+000
3	0	1.490999962334172E+003	-2.0200233E+000
3	0	1.491499962321541E+003	-2.0133793E+000
3	0	1.491999962308910E+003	-2.0149364E+000
3	0	1.492499962296279E+003	-2.0249867E+000
3	0	1.492999962283648E+003	-2.0398767E+000
3	0	1.493499962271017E+003	-2.0314763E+000
3	0	1.493999962258385E+003	-2.0187750E+000
3	0	1.494499962245754E+003	-2.0166209E+000
3	0	1.494999962233123E+003	-2.0045269E+000
3	0	1.495499962220492E+003	-1.9995644E+000
3	0	1.495999962207861E+003	-2.0289962E+000
3	0	1.496499962195230E+003	-2.0257516E+000
3	0	1.496999962182599E+003	-2.0203826E+000
3	0	1.497499962169968E+003	-2.0122700E+000
3	0	1.497999962157337E+003	-2.0191283E+000
3	0	1.498499962144706E+003	-2.0130205E+000
3	0	1.498999962132075E+003	-2.0173538E+000
3	0	1.499499962119444E+003	-2.0170810E+000
3	0	1.499999962106813E+003	-2.0150633E+000
3	0	1.500499962094182E+003	-2.0156391E+000
3	0	1.500999962081551E+003	-2.0220757E+000
3	0	1.501499962068920E+003	-2.0204380E+000
3	0	1.501999962056289E+003	-2.0072463E+000
3	0	1.502499962043657E+003	-1.9955852E+000
3	0	1.502999962031026E+003	-1.9766977E+000
3	0	1.503499962018395E+003	-1.9650661E+000
3	0	1.503999962005764E+003	-1.9668385E+000
3	0	1.504499961993133E+003	-1.9697096E+000
3	0	1.504999961980502E+003	-1.9751389E+000
3	0	1.505499961967871E+003	-1.9771438E+000
3	0	1.505999961955240E+003	-1.9661551E+000
3	0	1.506499961942609E+003	-1.9577973E+000
3	0	1.506999961929978E+003	-1.9765002E+000
3	0	1.507499961917347E+003	-1.9999268E+000
3	0	1.507999961904716E+003	-2.0109410E+000
3	0	1.508499961892085E+003	-1.9920703E+000
3	0	1.508999961879454E+003	-1.9995893E+000
3	0	1.509499961866823E+003	-1.9869415E+000
3	0	1.509999961854192E+003	-2.0176404E+000
3	0	1.510499961841560E+003	-2.0133018E+000
3	0	1.510999961828929E+003	-1.9997654E+000
3	0	1.511499961816298E+003	-1.9947959E+000
3	0	1.511999961803667E+003	-1.9854923E+000
3	0	1.512499961791036E+003	-1.9913973E+000
3	0	1.512999961778405E+003	-1.9866672E+000
3	0	1.513499961765774E+003	-1.9762354E+000
3	0	1.513999961753143E+003	-1.9912828E+000
3	0	1.514499961740512E+003	-2.0282543E+000
3	0	1.514999961727881E+003	-2.0288148E+000
3	0	1.515499961715250E+003	-2.0148060E+000
3	0	1.515999961702619E+003	-2.0086088E+000
3	0	1.516499961689988E+003	-2.0273311E+000
3	0	1.516999961677357E+003	-2.0215764E+000
3	0	1.517499961664726E+003	-2.0268242E+000
3	0	1.517999961652095E+003	-2.0249107E+000
3	0	1.518499961639463E+003	-2.0220294E+000
3	0	1.518999961626832E+003	-2.0041981E+000
3	0	1.519499961614201E+003	-2.0045857E+000
3	0	1.519999961601570E+003	-2.0108848E+000
3	0	1.520499961588939E+003	-2.0158596E+000
3	0	1.520999961576308E+003	-2.0066662E+000
3	0	1.521499961563677E+003	-2.0174513E+000
3	0	1.521999961551046E+003	-2.0121610E+000
3	0	1.522499961538415E+003	-2.0010502E+000
3	0	1.522999961525784E+003	-1.9984955E+000
3	0	1.523499961513153E+003	-2.0036423E+000
3	0	1.523999961500522E+003	-1.9988410E+000
3	0	1.524499961487891E+003	-1.9976681E+000
3	0	1.524999961475260E+003	-2.0291686E+000
3	0	1.525499961462629E+003	-2.0115545E+000
3	0	1.525999961449998E+003	-2.0190225E+000
3	0	1.526499961437366E+003	-2.0323730E+000
3	0	1.526999961424735E+003	-2.0365958E+000
3	0	1.527499961412104E+003	-2.0407314E+000
3	0	1.527999961399473E+003	-2.0356493E+000
3	0	1.528499961386842E+003	-2.0272508E+000
3	0	1.528999961374211E+003	-2.0163219E+000
3	0	1.529499961361580E+003	-2.0245993E+000
3	0	1.529999961348949E+003	-2.0269835E+000
3	0	1.530499961336318E+003	-2.0025935E+000
3	0	1.530999961323687E+003	-2.0079701E+000
3	0	1.531499961311056E+003	-2.0020716E+000
3	0	1.531999961298425E+003	-2.0090072E+000
3	0	1.532499961285794E+003	-2.0197818E+000
3	0	1.532999961273163E+003	-2.0249746E+000
3	0	1.533499961260532E+003	-2.0103650E+000
3	0	1.533999961247901E+003	-2.0052001E+000
3	0	1.534499961235269E+003	-2.0074742E+000
3	0	1.534999961222638E+003	-2.0071788E+000
3	0	1.535499961210007E+003	-2.0439374E+000
3	0	1.535999961197376E+003	-2.0348787E+000
3	0	1.536499961184745E+003	-2.0119536E+000
3	0	1.536999961172114E+003	-2.0085208E+000
3	0	1.537499961159483E+003	-2.0024285E+000
3	0	1.537999961146852E+003	-1.9946408E+000
3	0	1.538499961134221E+003	-1.9906449E+000
3	0	1.538999961121590E+003	-1.9854324E+000
3	0	1.539499961108959E+003	-1.9871883E+000
3	0	1.539999961096328E+003	-2.0043159E+000
3	0	1.540499961083697E+003	-1.9981881E+000
3	0	1.540999961071066E+003	-1.9896797E+000
3	0	1.541499961058435E+003	-1.9889549E+000
3	0	1.541999961045804E+003	-1.9701644E+000
3	0	1.542499961033172E+003	-1.9664202E+000
3	0	1.542999961020541E+003	-1.9715797E+000
3	0	1.543499961007910E+003	-1.9587044E+000
3	0	1.543999960995279E+003	-1.9395939E+000
3	0	1.544499960982648E+003	-1.9417959E+000
3	0	1.544999960970017E+003	-1.9754397E+000
3	0	1.545499960957386E+003	-1.9776431E+000
3	0	1.545999960944755E+003	-1.9571710E+000
3	0	1.546499960932124E+003	-1.9456900E+000
3	0	1.546999960919493E+003	-1.9544567E+000
3	0	1.547499960906862E+003	-2.0243533E+000
3	0	1.547999960894231E+003	-2.0770760E+000
3	0	1.548499960881600E+003	-2.0586228E+000
3	0	1.548999960868969E+003	-2.0401471E+000
3	0	1.549499960856338E+003	-2.0349057E+000
3	0	1.549999960843707E+003	-2.0268459E+000
3	0	1.550499960831075E+003	-2.0228941E+000
3	0	1.550999960818444E+003	-2.0239899E+000
3	0	1.551499960805813E+003	-2.0171423E+000
3	0	1.551999960793182E+003	-2.0258005E+000
3	0	1.552499960780551E+003	-2.0587373E+000
3	0	1.552999960767920E+003	-2.0620635E+000
3	0	1.553499960755289E+003	-2.0406568E+000
3	0	1.553999960742658E+003	-2.0356638E+000
3	0	1.554499960730027E+003	-2.0356705E+000
3	0	1.554999960717396E+003	-2.0247965E+000
3	0	1.555499960704765E+003	-1.9946522E+000
3	0	1.555999960692134E+003	-2.0130310E+000
3	0	1.556499960679503E+003	-2.0090599E+000
3	0	1.556999960666872E+003	-2.0127976E+000
3	0	1.557499960654241E+003	-2.0120411E+000
3	0	1.557999960641610E+003	-1.9955430E+000
3	0	1.558499960628978E+003	-1.9849119E+000
3	0	1.558999960616347E+003	-1.9951235E+000
3	0	1.559499960603716E+003	-1.9927889E+000
3	0	1.559999960591085E+003	-2.0092638E+000
3	0	1.560499960578454E+003	-2.0196104E+000
3	0	1.560999960565823E+003	-2.0128162E+000
3	0	1.561499960553192E+003	-2.0114818E+000
3	0	1.561999960540561E+003	-2.0180044E+000
3	0	1.562499960527930E+003	-2.0301847E+000
3	0	1.562999960515299E+003	-2.0506690E+000
3	0	1.563499960502668E+003	-2.0511796E+000
3	0	1.563999960490037E+003	-2.0419056E+000
3	0	1.564499960477406E+003	-2.0288646E+000
3	0	1.564999960464775E+003	-2.0249496E+000
3	0	1.565499960452144E+003	-2.0193906E+000
3	0	1.565999960439513E+003	-2.0257230E+000
3	0	1.566499960426881E+003	-2.0227492E+000
3	0	1.566999960414250E+003	-2.0104213E+000
3	0	1.567499960401619E+003	-1.9976075E+000
3	0	1.567999960388988E+003	-2.0091128E+000
3	0	1.568499960376357E+003	-2.0223391E+000
3	0	1.568999960363726E+003	-2.0250003E+000
3	0	1.569499960351095E+003	-2.0276644E+000
3	0	1.569999960338464E+003	-2.0344625E+000
3	0	1.570499960325833E+003	-2.0395064E+000
3	0	1.570999960313202E+003	-2.0413449E+000
3	0	1.571499960300571E+003	-2.0303638E+000
3	0	1.571999960287940E+003	-2.0308793E+000
3	0	1.572499960275309E+003	-2.0487216E+000
3	0	1.572999960262678E+003	-2.0482588E+000
3	0	1.573499960250047E+003	-2.0370140E+000
3	0	1.573999960237416E+003	-2.0456433E+000
3	0	1.574499960224784E+003	-2.0340304E+000
3	0	1.574999960212153E+003	-2.0466881E+000
3	0	1.575499960199522E+003	-2.0403490E+000
3	0	1.575999960186891E+003	-2.0337241E+000
3	0	1.576499960174260E+003	-2.0294003E+000
3	0	1.576999960161629E+003	-2.0371258E+000
3	0	1.577499960148998E+003	-2.0474644E+000
3	0	1.577999960136367E+003	-2.0455172E+000
3	0	1.578499960123736E+003	-2.0434501E+000
3	0	1.578999960111105E+003	-2.0471594E+000
3	0	1.579499960098474E+003	-2.0623193E+000
3	0	1.579999960085843E+003	-2.0650222E+000
3	0	1.580499960073212E+003	-2.0641656E+000
3	0	1.580999960060581E+003	-2.0410016E+000
3	0	1.581499960047950E+003	-2.0309842E+000
3	0	1.581999960035319E+003	-2.0310974E+000
3	0	1.582499960022687E+003	-2.0294349E+000
3	0	1.582999960010056E+003	-2.0181627E+000
3	0	1.583499959997425E+003	-2.0212083E+000
3	0	1.583999959984794E+003	-2.0240116E+000
3	0	1.584499959972163E+003	-2.0255935E+000
3	0	1.584999959959532E+003	-2.0132461E+000
3	0	1.585499959946901E+003	-2.0107205E+000
3	0	1.585999959934270E+003	-2.0085220E+000
3	0	1.586499959921639E+003	-1.9978160E+000
3	0	1.586999959909008E+003	-1.9948819E+000
3	0	1.587499959896377E+003	-1.9966811E+000
3	0	1.587999959883746E+003	-1.9841495E+000
3	0	1.588499959871115E+003	-2.0172431E+000
3	0	1.588999959858484E+003	-2.0477366E+000
3	0	1.589499959845853E+003	-2.0396123E+000
3	0	1.589999959833222E+003	-2.0359175E+000
3	0	1.590499959820590E+003	-2.0301058E+000
3	0	1.590999959807959E+003	-2.0219743E+000
3	0	1.591499959795328E+003	-2.0262275E+000
3	0	1.591999959782697E+003	-2.0290980E+000
3	0	1.592499959770066E+003	-2.0151162E+000
3	0	1.592999959757435E+003	-2.0062966E+000
3	0	1.593499959744804E+003	-2.0133228E+000
3	0	1.593999959732173E+003	-2.0194619E+000
3	0	1.594499959719542E+003	-1.9984269E+000
3	0	1.594999959706911E+003	-2.0060997E+000
3	0	1.595499959694280E+003	-2.0094440E+000
3	0	1.595999959681649E+003	-1.9992580E+000
3	0	1.596499959669018E+003	-2.0069959E+000
3	0	1.596999959656387E+003	-1.9875244E+000
3	0	1.597499959643756E+003	-1.9706095E+000
3	0	1.597999959631125E+003	-1.9725085E+000
3	0	1.598499959618493E+003	-1.9814184E+000
3	0	1.598999959605862E+003	-1.9882853E+000
3	0	1.599499959593231E+003	-1.9895006E+000
3	0	1.599999959580600E+003	-1.9944191E+000
3	0	1.600499959567969E+003	-2.0193999E+000
3	0	1.600999959555338E+003	-2.0198014E+000
3	0	1.601499959542707E+003	-2.0025494E+000
3	0	1.601999959530076E+003	-2.0012929E+000
3	0	1.602499959517445E+003	-1.9928434E+000
3	0	1.602999959504814E+003	-1.9831402E+000
3	0	1.603499959492183E+003	-1.9797914E+000
3	0	1.603999959479552E+003	-1.9755739E+000
3	0	1.604499959466921E+003	-1.9857190E+000
3	0	1.604999959454290E+003	-1.9840910E+000
3	0	1.605499959441659E+003	-1.9930471E+000
3	0	1.605999959429028E+003	-1.9957254E+000
3	0	1.606499959416396E+003	-2.0119939E+000
3	0	1.606999959403765E+003	-2.0009212E+000
3	0	1.607499959391134E+003	-2.0060394E+000
3	0	1.607999959378503E+003	-2.0150168E+000
3	0	1.608499959365872E+003	-1.9994435E+000
3	0	1.608999959353241E+003	-2.0025041E+000
3	0	1.609499959340610E+003	-1.9971002E+000
3	0	1.609999959327979E+003	-1.9937885E+000
3	0	1.610499959315348E+003	-1.9913740E+000
3	0	1.610999959302717E+003	-1.9968148E+000
3	0	1.611499959290086E+003	-1.9920003E+000
3	0	1.611999959277455E+003	-1.9869819E+000
3	0	1.612499959264824E+003	-1.9812039E+000
3	0	1.612999959252193E+003	-1.9733355E+000
3	0	1.613499959239562E+003	-1.9747471E+000
3	0	1.613999959226931E+003	-1.9801471E+000
3	0	1.614499959214299E+003	-1.9812381E+000
3	0	1.614999959201668E+003	-1.9682409E+000
3	0	1.615499959189037E+003	-1.9674342E+000
3	0	1.615999959176406E+003	-1.9639404E+000
3	0	1.616499959163775E+003	-1.9647161E+000
3	0	1.616999959151144E+003	-1.9575717E+000
3	0	1.617499959138513E+003	-1.9725788E+000
3	0	1.617999959125882E+003	-1.9808985E+000
3	0	1.618499959113251E+003	-1.9776103E+000
3	0	1.618999959100620E+003	-1.9697746E+000
3	0	1.619499959087989E+003	-1.9572291E+000
3	0	1.619999959075358E+003	-1.9826512E+000
3	0	1.620499959062727E+003	-2.0167289E+000
3	0	1.620999959050096E+003	-2.0091968E+000
3	0	1.621499959037465E+003	-2.0029068E+000
3	0	1.621999959024834E+003	-1.9948679E+000
3	0	1.622499959012202E+003	-1.9891094E+000
3	0	1.622999958999571E+003	-1.9899474E+000
3	0	1.623499958986940E+003	-1.9827578E+000
3	0	1.623999958974309E+003	-1.9917072E+000
3	0	1.624499958961678E+003	-2.0051432E+000
3	0	1.624999958949047E+003	-2.0172913E+000
3	0	1.625499958936416E+003	-1.9906046E+000
3	0	1.625999958923785E+003	-1.9784127E+000
3	0	1.626499958911154E+003	-1.9676847E+000
3	0	1.626999958898523E+003	-1.9808551E+000
3	0	1.627499958885892E+003	-2.0064917E+000
3	0	1.627999958873261E+003	-2.0125995E+000
3	0	1.628499958860630E+003	-2.0149937E+000
3	0	1.628999958847999E+003	-2.0093634E+000
3	0	1.629499958835368E+003	-2.0001066E+000
3	0	1.629999958822737E+003	-2.0020645E+000
3	0	1.630499958810105E+003	-1.9937031E+000
3	0	1.630999958797474E+003	-2.0122821E+000
3	0	1.631499958784843E+003	-2.0101650E+000
3	0	1.631999958772212E+003	-1.9998844E+000
3	0	1.632499958759581E+003	-1.9976568E+000
3	0	1.632999958746950E+003	-2.0069087E+000
3	0	1.633499958734319E+003	-2.0013244E+000
3	0	1.633999958721688E+003	-2.0184627E+000
3	0	1.634499958709057E+003	-2.0077877E+000
3	0	1.634999958696426E+003	-1.9963957E+000
3	0	1.635499958683795E+003	-1.9898354E+000
3	0	1.635999958671164E+003	-1.9902607E+000
3	0	1.636499958658533E+003	-1.9874219E+000
3	0	1.636999958645902E+003	-1.9823606E+000
3	0	1.637499958633271E+003	-2.0021863E+000
3	0	1.637999958620640E+003	-2.0024481E+000
3	0	1.638499958608008E+003	-2.0062048E+000
3	0	1.638999958595377E+003	-2.0053315E+000
3	0	1.639499958582746E+003	-2.0142345E+000
3	0	1.639999958570115E+003	-2.0082145E+000
3	0	1.640499958557484E+003	-2.0131629E+000
3	0	1.640999958544853E+003	-2.0093908E+000
3	0	1.641499958532222E+003	-2.0195482E+000
3	0	1.641999958519591E+003	-2.0261478E+000
3	0	1.642499958506960E+003	-2.0257828E+000
3	0	1.642999958494329E+003	-2.0254619E+000
3	0	1.643499958481698E+003	-2.0171180E+000
3	0	1.643999958469067E+003	-2.0078185E+000
3	0	1.644499958456436E+003	-1.9944502E+000
3	0	1.644999958443805E+003	-1.9980803E+000
3	0	1.645499958431174E+003	-1.9792879E+000
3	0	1.645999958418543E+003	-1.9780564E+000
3	0	1.646499958405911E+003	-1.9865570E+000
3	0	1.646999958393280E+003	-1.9987539E+000
3	0	1.647499958380649E+003	-1.9923297E+000
3	0	1.647999958368018E+003	-1.9897332E+000
3	0	1.648499958355387E+003	-2.0006707E+000
3	0	1.648999958342756E+003	-2.0003409E+000
3	0	1.649499958330125E+003	-2.0026627E+000
3	0	1.649999958317494E+003	-1.9952178E+000
3	0	1.650499958304863E+003	-1.9962018E+000
3	0	1.650999958292232E+003	-1.9991807E+000
3	0	1.651499958279601E+003	-2.0128005E+000
3	0	1.651999958266970E+003	-1.9884121E+000
3	0	1.652499958254339E+003	-1.9906883E+000
3	0	1.652999958241708E+003	-2.0111601E+000
3	0	1.653499958229077E+003	-2.0302558E+000
3	0	1.653999958216446E+003	-2.0377679E+000
3	0	1.654499958203814E+003	-2.0189567E+000
3	0	1.654999958191183E+003	-1.9962431E+000
3	0	1.655499958178552E+003	-1.9949822E+000
3	0	1.655999958165921E+003	-1.9819084E+000
3	0	1.656499958153290E+003	-1.9849199E+000
3	0	1.656999958140659E+003	-2.0150530E+000
3	0	1.657499958128028E+003	-2.0309711E+000
3	0	1.657999958115397E+003	-2.0296469E+000
3	0	1.658499958102766E+003	-2.0260558E+000
3	0	1.658999958090135E+003	-2.0095415E+000
3	0	1.659499958077504E+003	-2.0011492E+000
3	0	1.659999958064873E+003	-2.0057294E+000
3	0	1.660499958052242E+003	-2.0110583E+000
3	0	1.660999958039611E+003	-2.0162501E+000
3	0	1.661499958026980E+003	-2.0187891E+000
3	0	1.661999958014349E+003	-2.0165408E+000
3	0	1.662499958001717E+003	-2.0249977E+000
3	0	1.662999957989086E+003	-2.0072496E+000
3	0	1.663499957976455E+003	-2.0189540E+000
3	0	1.663999957963824E+003	-2.0341699E+000
3	0	1.664499957951193E+003	-2.0474126E+000
3	0	1.664999957938562E+003	-2.0500944E+000
3	0	1.665499957925931E+003	-2.0608199E+000
3	0	1.665999957913300E+003	-2.0644524E+000
3	0	1.666499957900669E+003	-2.0457399E+000
3	0	1.666999957888038E+003	-2.0414138E+000
3	0	1.667499957875407E+003	-2.0251532E+000
3	0	1.667999957862776E+003	-2.0273523E+000
3	0	1.668499957850145E+003	-2.0455196E+000
3	0	1.668999957837514E+003	-2.0544388E+000
3	0	1.669499957824883E+003	-2.0325744E+000
3	0	1.669999957812252E+003	-2.0309298E+000
3	0	1.670499957799620E+003	-2.0172677E+000
3	0	1.670999957786989E+003	-2.0099618E+000
3	0	1.671499957774358E+003	-2.0210056E+000
3	0	1.671999957761727E+003	-2.0188866E+000
3	0	1.672499957749096E+003	-2.0125551E+000
3	0	1.672999957736465E+003	-2.0141191E+000
3	0	1.673499957723834E+003	-2.0036550E+000
3	0	1.673999957711203E+003	-1.9992584E+000
3	0	1.674499957698572E+003	-2.0085909E+000
3	0	1.674999957685941E+003	-2.0217113E+000
3	0	1.675499957673310E+003	-2.0170186E+000
3	0	1.675999957660679E+003	-2.0113840E+000
3	0	1.676499957648048E+003	-2.0109794E+000
3	0	1.676999957635417E+003	-2.0109754E+000
3	0	1.677499957622786E+003	-2.0047517E+000
3	0	1.677999957610155E+003	-2.0082717E+000
3	0	1.678499957597523E+003	-2.0199890E+000
3	0	1.678999957584892E+003	-2.0307486E+000
3	0	1.679499957572261E+003	-2.0486209E+000
3	0	1.679999957559630E+003	-2.0447381E+000
3	0	1.680499957546999E+003	-2.0500891E+000
3	0	1.680999957534368E+003	-2.0429709E+000
3	0	1.681499957521737E+003	-2.0323684E+000
3	0	1.681999957509106E+003	-2.0130858E+000
3	0	1.682499957496475E+003	-2.0073714E+000
3	0	1.682999957483844E+003	-2.0086055E+000
3	0	1.683499957471213E+003	-2.0157917E+000
3	0	1.683999957458582E+003	-2.0139527E+000
3	0	1.684499957445951E+003	-1.9914713E+000
3	0	1.684999957433320E+003	-1.9983385E+000
3	0	1.685499957420689E+003	-2.0137587E+000
3	0	1.685999957408058E+003	-2.0224080E+000
