mode	error	time/s	<Ewe/V>	
3	0	1.229999968927586E+002	-1.7827895E+000
3	0	1.234999968801276E+002	-1.8007573E+000
3	0	1.239999968674965E+002	-1.8155299E+000
3	0	1.244999968548655E+002	-1.8339555E+000
3	0	1.249999968422344E+002	-1.8563520E+000
3	0	1.254999968296033E+002	-1.8701777E+000
3	0	1.259999968169723E+002	-1.8876086E+000
3	0	1.264999968043412E+002	-1.8952129E+000
3	0	1.269999967917101E+002	-1.8559977E+000
3	0	1.274999967790791E+002	-1.8086693E+000
3	0	1.279999967664480E+002	-1.8152719E+000
3	0	1.284999967538170E+002	-1.8182333E+000
3	0	1.289999967411859E+002	-1.8133903E+000
3	0	1.294999967285548E+002	-1.8109173E+000
3	0	1.299999967159238E+002	-1.8152549E+000
3	0	1.304999967032927E+002	-1.8278288E+000
3	0	1.309999966906616E+002	-1.8407985E+000
3	0	1.314999966780306E+002	-1.8504426E+000
3	0	1.319999966653995E+002	-1.8534826E+000
3	0	1.324999966527685E+002	-1.8561459E+000
3	0	1.329999966401374E+002	-1.8617873E+000
3	0	1.334999966275063E+002	-1.8613629E+000
3	0	1.339999966148753E+002	-1.8768781E+000
3	0	1.344999966022442E+002	-1.8796732E+000
3	0	1.349999965896131E+002	-1.8846481E+000
3	0	1.354999965769821E+002	-1.8967088E+000
3	0	1.359999965643510E+002	-1.9070916E+000
3	0	1.364999965517200E+002	-1.9138085E+000
3	0	1.369999965390889E+002	-1.9135221E+000
3	0	1.374999965264578E+002	-1.9055576E+000
3	0	1.379999965138268E+002	-1.9051201E+000
3	0	1.384999965011957E+002	-1.9050097E+000
3	0	1.389999964885646E+002	-1.9063897E+000
3	0	1.394999964759336E+002	-1.9086599E+000
3	0	1.399999964633025E+002	-1.9108528E+000
3	0	1.404999964506715E+002	-1.9268560E+000
3	0	1.409999964380404E+002	-1.9631157E+000
3	0	1.414999964254093E+002	-1.9782840E+000
3	0	1.419999964127783E+002	-1.9784263E+000
3	0	1.424999964001472E+002	-1.9758857E+000
3	0	1.429999963875161E+002	-1.9669955E+000
3	0	1.434999963748851E+002	-1.9617599E+000
3	0	1.439999963622540E+002	-1.9674778E+000
3	0	1.444999963496230E+002	-1.9717592E+000
3	0	1.449999963369919E+002	-1.9686580E+000
3	0	1.454999963243608E+002	-1.9638188E+000
3	0	1.459999963117298E+002	-1.9681469E+000
3	0	1.464999962990987E+002	-1.9826061E+000
3	0	1.469999962864676E+002	-2.0009158E+000
3	0	1.474999962738366E+002	-1.9887635E+000
3	0	1.479999962612055E+002	-1.9877611E+000
3	0	1.484999962485745E+002	-2.0046256E+000
3	0	1.489999962359434E+002	-2.0216150E+000
3	0	1.494999962233123E+002	-2.0308356E+000
3	0	1.499999962106813E+002	-2.0391099E+000
3	0	1.504999961980502E+002	-2.0301728E+000
3	0	1.509999961854192E+002	-2.0235081E+000
3	0	1.514999961727881E+002	-2.0251613E+000
3	0	1.519999961601570E+002	-2.0261533E+000
3	0	1.524999961475260E+002	-2.0247355E+000
3	0	1.529999961348949E+002	-2.0201545E+000
3	0	1.534999961222638E+002	-2.0133505E+000
3	0	1.539999961096328E+002	-2.0048814E+000
3	0	1.544999960970017E+002	-2.0025737E+000
3	0	1.549999960843707E+002	-2.0000324E+000
3	0	1.554999960717396E+002	-1.9961200E+000
3	0	1.559999960591085E+002	-1.9972141E+000
3	0	1.564999960464775E+002	-1.9970204E+000
3	0	1.569999960338464E+002	-2.0069070E+000
3	0	1.574999960212153E+002	-2.0142143E+000
3	0	1.579999960085843E+002	-2.0180411E+000
3	0	1.584999959959532E+002	-2.0189059E+000
3	0	1.589999959833222E+002	-2.0180187E+000
3	0	1.594999959706911E+002	-2.0135372E+000
3	0	1.599999959580600E+002	-2.0116000E+000
3	0	1.604999959454290E+002	-1.9945234E+000
3	0	1.609999959327979E+002	-1.9829046E+000
3	0	1.614999959201668E+002	-1.9862219E+000
3	0	1.619999959075358E+002	-1.9863914E+000
3	0	1.624999958949047E+002	-1.9826210E+000
3	0	1.629999958822737E+002	-1.9969785E+000
3	0	1.634999958696426E+002	-2.0107946E+000
3	0	1.639999958570115E+002	-1.9959402E+000
3	0	1.644999958443805E+002	-1.9844127E+000
3	0	1.649999958317494E+002	-1.9822612E+000
3	0	1.654999958191183E+002	-1.9857018E+000
3	0	1.659999958064873E+002	-1.9907854E+000
3	0	1.664999957938562E+002	-1.9989898E+000
3	0	1.669999957812252E+002	-2.0243170E+000
3	0	1.674999957685941E+002	-2.0183356E+000
3	0	1.679999957559630E+002	-2.0183542E+000
3	0	1.684999957433320E+002	-2.0241630E+000
3	0	1.689999957307009E+002	-2.0317986E+000
3	0	1.694999957180698E+002	-2.0379577E+000
3	0	1.699999957054388E+002	-2.0299129E+000
3	0	1.704999956928077E+002	-2.0129466E+000
3	0	1.709999956801767E+002	-1.9914587E+000
3	0	1.714999956675456E+002	-1.9816606E+000
3	0	1.719999956549145E+002	-1.9821235E+000
3	0	1.724999956422835E+002	-1.9838504E+000
3	0	1.729999956296524E+002	-1.9852901E+000
3	0	1.734999956170213E+002	-1.9813403E+000
3	0	1.739999956043903E+002	-1.9776707E+000
3	0	1.744999955917592E+002	-1.9751844E+000
