mode	ox/red	error	control changes	time/s	control/V	Ewe/V	<I>/mA	(Q-Qo)/C	I Range	P/W	
2	1	0	1	4.399955920607317E+002	-1.0483245E+000	-1.0505190E+000	2.884773276805890E+001	-5.3142565E-001	38	-3.0305091E-002
2	1	0	1	4.400289920598880E+002	-1.0449842E+000	-1.0461099E+000	3.524727224429432E+001	-5.3034216E-001	38	-3.6872521E-002
2	1	0	1	4.400623920590442E+002	-1.0416436E+000	-1.0420074E+000	4.168523893232714E+001	-5.2904457E-001	38	-4.3436330E-002
2	1	0	1	4.400956920582030E+002	-1.0383167E+000	-1.0387729E+000	4.807883083680001E+001	-5.2753663E-001	38	-4.9942989E-002
2	1	0	1	4.401289920573618E+002	-1.0349895E+000	-1.0360724E+000	5.450302722754304E+001	-5.2581596E-001	38	-5.6469079E-002
2	1	0	1	4.401623920565180E+002	-1.0316491E+000	-1.0321376E+000	6.092139898247206E+001	-5.2387536E-001	38	-6.2879272E-002
2	1	0	1	4.401957920556742E+002	-1.0283087E+000	-1.0289744E+000	6.734866704349179E+001	-5.2172023E-001	38	-6.9300056E-002
2	1	0	1	4.402289920548355E+002	-1.0249883E+000	-1.0246431E+000	7.382949773143849E+001	-5.1936364E-001	38	-7.5648881E-002
2	1	0	1	4.402623920539918E+002	-1.0216479E+000	-1.0227391E+000	8.035694501841544E+001	-5.1677567E-001	38	-8.2184188E-002
2	1	0	1	4.402957920531480E+002	-1.0183076E+000	-1.0194838E+000	8.711867900565812E+001	-5.1396561E-001	38	-8.8816084E-002
2	1	0	1	4.403289920523093E+002	-1.0149872E+000	-1.0157030E+000	9.403763575077051E+001	-5.1094496E-001	38	-9.5514305E-002
2	1	0	1	4.403623920514656E+002	-1.0116467E+000	-1.0129172E+000	1.011701164298586E+002	-5.0767142E-001	38	-1.0247695E-001
2	1	0	1	4.404107920502429E+002	-1.0068061E+000	-1.0065731E+000	1.113475369347291E+002	-5.0247920E-001	38	-1.1207943E-001
2	1	0	1	4.404589920490253E+002	-1.0019857E+000	-1.0033810E+000	1.208734499712349E+002	-4.9697080E-001	37	-1.2128212E-001
2	1	0	1	4.404923920481815E+002	-9.9864519E-001	-9.9853653E-001	1.271105529456670E+002	-4.9281546E-001	37	-1.2692453E-001
2	1	0	1	4.405257920473377E+002	-9.9530476E-001	-9.9410433E-001	1.324978642377145E+002	-4.8846722E-001	37	-1.3171670E-001
